0,1,2,3
Subdistrict,Murid/Students,,
,Public,Private,Total
1,8,9,10
Salem,1554,478,2032
Bantarkawung,1541,1099,2640
Bumiayu,2482,2510,4992
Paguyangan,1867,2294,4161
Sirampog,938,1247,2185
Tonjong,1797,452,2249
Larangan,2929,260,3189
Ketanggungan,2702,645,3347
Banjarharjo,2629,609,3238
Losari,3148,626,3774
Tanjung,3210,73,3283
Kersana,2284,108,2392
Bulakamtba,2499,1255,3754
Wanasari,2859,613,3472
Songgom,2028,829,2857
Jatibarang,2521,90,2611
Brebes,5164,960,6124
Kabupaten Brebes,42152,14148,56300
