0,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Subdistrict,Seikolah/Schools,,,Sekolah/Schools,,,1,,,1,,,Murid/Pupils,,,Murid/Pupils,,,Sekolah/Schools,,,Sekolah/Schools,,,Sekolah/Schools,,,Sekolah/Schools,,,1,,,1,,,Murid/Students,,,Murid/Students,,,Sekolah/Schools,,,Sekolah/Schools,,,1,,,1,,,Murid/Pupils,,,Murid/Pupils,,,Sekolah/Schools,,,Sekolah/Schools,,,1,,,1,,,Murid/Students,,,Murid/Students,,,Sekolah/Schools,,,Sekolah/Schools,,,1,,,1,,,Murid/Students,,,Murid/Students,,,Sekolah/Schools,,,Sekolah/Schools,,,1,,,1,,,Murid/Students,,,Murid/Students,,,Sekolah/Schools,,,Sekolah/Schools,,,1,,,1,,,Murid/Students,,,Murid/Students,,,Sekolah/Schools,,,Sekolah/Schools,,,1,,,1,,,Murid/Students,,,Murid/Students,,,Primary School,,,Junior High School,,,Senior High School,,,Vocational School,,,University,,
,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,/Schools,/Teachers,/Pupils,/Schools,/Teachers,/Pupils,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,iPrivate,Total,Public,iPrivate,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,iPrivate,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,2018,2019.0,2020.0,2014,2019.0,2020.0,2014,2019.0,2020.0,2014,2019.0,2020.0,2014,2019,2020
1,2,3,4,2,3,4,5,6,7,5,6,7,8,9,10,8,9,10,2,3,4,2,3,4,2,3,4,2,3,4,5,6,7,5,6,7,8,9,10,8,9,10,2,3,4,2,3,4,5,6,7,5,6,7,8,9,10,8,9,10,2,3,4,2,3,4,5,6,7,5,6,7,8,9,10,8,9,10,2,3,4,2,3,4,5,6,7,5,6,7,8,9,10,8,9,10,2,3,4,2,3,4,5,6,7,5,6,7,8,9,10,8,9,10,2,3,4,2,3,4,5,6,7,5,6,7,8,9,10,8,9,10,2,3,4,2,3,4,5,6,7,5,6,7,8,9,10,8,9,10,2,3.0,4.0,5,6.0,7.0,8,9.0,10.0,11,12.0,13.0,14,15,16
Salem,-,28,28,-,28,28,-,93,93,-,92,92,-,1025,1025,-,993,993,...,...,...,26,114,853,49,-,49,49,-,49,442,-,442,486,-,486,5063,-,5063,4990,-,4990,-,5,5,-,5,5,-,46,46,-,41,41,-,581,581,-,561,561,7,4,11,7,4,11,115,31,146,129,34,163,1554,478,2032,1554,520,2074,-,3,3,-,4,4,-,40,40,-,66,66,-,709,709,-,741,741,1,-,1,1,-,1,39,-,39,43,-,43,769,-,769,806,-,806,-,3,3,-,3,3,-,52,52,-,51,51,-,893,893,-,981,981,-,2,2,-,2,2,-,16,16,-,16,16,-,136,136,-,147,147,21,21.0,21.0,11,11.0,11.0,2,2.0,2.0,3,3.0,3.0,–,–,–
Bantarkawung,-,22,22,-,22,22,-,70,70,-,71,71,-,837,837,-,810,810,...,...,...,19,65,729,60,-,60,59,-,59,493,-,493,522,-,522,7529,-,7529,7437,-,7437,1,8,9,1,8,9,12,85,97,11,66,77,231,1167,1398,230,777,1007,7,6,13,7,6,13,95,58,153,108,68,176,1541,1099,2640,1467,1069,2536,2,3,5,2,3,5,72,35,107,70,35,105,1023,902,1922,1015,428,1443,1,-,1,1,-,1,37,-,37,41,-,41,748,-,748,752,-,752,-,5,5,-,5,5,-,120,120,-,121,121,-,1994,1994,-,1972,1972,-,1,1,-,1,1,-,15,15,-,14,14,-,173,173,-,179,179,18,18.0,18.0,11,11.0,11.0,1,1.0,1.0,4,4.0,4.0,–  ,–,–
Bumiayu,1,39,40,1,39,40,7,124,131,7,128,135,53,1517,1570,52,1483,1535,...,...,...,14,35,436,53,5,58,53,4,57,470,48,518,484,50,534,7504,1009,8513,7468,1064,8532,-,18,18,-,18,18,-,174,174,-,155,155,-,2803,2803,-,2594,2594,4,12,16,4,11,15,139,156,295,147,161,308,2482,2510,4992,2381,2412,4793,-,9,9,-,9,9,-,119,119,-,103,103,-,1751,1751,-,1721,1721,1,5,6,1,5,6,58,99,157,64,99,163,1059,1618,2677,1070,1432,2502,-,10,10,-,10,10,-,254,254,-,257,257,-,4715,4715,-,4706,4706,1,3,4,1,3,4,67,147,214,60,81,141,1094,657,1751,1050,647,1697,15,15.0,15.0,11,11.0,11.0,6,6.0,6.0,9,9.0,9.0,–,–,–
Paguyangan,-,31,31,-,31,31,-,88,88,-,91,91,-,1119,1119,-,1169,1169,...,...,...,10,26,256,50,3,53,50,3,53,413,16,429,421,19,440,8211,369,8580,8170,435,8605,-,12,12,-,12,12,-,93,93,-,87,87,.,2039,2039,-,2035,2035,4,8,12,4,8,12,96,126,222,101,136,237,1867,2294,4161,1890,2252,4142,-,4,4,-,4,4,-,64,64,-,61,61,-,1040,1040,-,945,945,1,1,2,1,1,2,34,8,42,42,7,49,634,222,856,673,222,895,-,8,8,-,8,8,-,168,168,-,170,170,-,2613,2613,-,2535,2535,-,1,1,-,1,1,-,8,8,-,8,8,-,61,61,-,64,64,12,12.0,12.0,9,10.0,10.0,2,2.0,2.0,6,5.0,5.0,1,2,2
Sirampog,-,26,26,-,26,26,-,95,95,-,93,93,-,1257,1257,-,1217,1217,...,...,...,4,13,167,33,-,33,33,-,33,254,-,254,271,-,271,4774,-,4774,4771,-,4771,-,16,16,-,16,16,-,143,143,-,133,133,-,2416,2416,-,2388,2388,4,5,9,4,5,9,50,78,128,55,76,131,938,1247,2185,964,1225,2189,-,14,14,-,11,11,-,173,173,-,212,212,-,3061,3061,-,2484,2484,1,1,2,1,1,2,25,23,48,28,23,51,481,426,907,538,358,896,a,8,8,a,8,8,-,175,175,-,174,174,-,2916,2916,-,2739,2739,-,6,6,-,6,6,-,117,117,-,131,131,-,2434,2434,-,1605,1605,13,13.0,13.0,10,10.0,10.0,4,4.0,4.0,5,5.0,5.0,1,1,1
Tonjong,-,23,23,-,22,22,-,82,82,-,84,84,-,999,999,-,1009,1009,...,...,...,7,29,577,42,-,42,42,-,42,316,-,316,341,-,341,4694,-,4694,4667,-,4667,-,18,18,-,18,18,-,153,153,-,154,154,-,2147,2147,-,2295,2295,3,3,6,3,3,6,91,41,132,94,41,135,1797,452,2249,1824,434,2258,-,8,8,-,8,8,-,101,101,-,96,96,-,1105,1105,-,1022,1022,-,2,2,-,2,2,k,18,18,-,19,19,k,221,221,k,186,186,1,4,5,1,4,5,76,81,157,85,91,176,1501,1384,2885,1560,1406,2966,-,-,-,a,-,-,-,-,-,a,-,-,-,-,-,-,-,-,14,14.0,14.0,10,10.0,10.0,2,2.0,2.0,4,4.0,4.0,–,–,–
